sectorName,aioe,anthropic,tomlinson,eisfeldt,eloundou,weight
Accounting,1.2789216277886624,0.2741817347108113,0.22566955926329285,0.6609962664055947,0.6835926874464177,4037330.0
Administrative Assistance,1.0121274283590405,0.3553618610653799,0.2379962591704884,0.6664259196921029,0.5869318555805969,9476710.0
Architecture,0.7621838754047453,0.02841897418004187,0.18308025219031257,0.3855207100774598,0.48301279588769985,589210.0
Arts & Entertainment,-0.1920267383669681,0.0729047011965754,0.1781098133302394,0.1565494479942769,0.3041890277077197,1847550.0
Banking & Finance,1.2755970488318664,0.2777916990818129,0.23263585303872397,0.46994814330483975,0.5544170973311163,3882910.0
Childcare,-0.10820563478424158,0.00876811694896158,0.157675042827431,0.08276651306007062,0.20086388263367927,1065080.0
Civil Engineering,1.2081553613688327,0.02210510694672963,0.20415284330817787,0.3653786918370051,0.500552559283712,467990.0
Cleaning & Sanitation,-1.4621152627461416,0.0051170363601674915,0.07223015760037312,0.03364790643634209,0.040207506354911854,5009300.0
Community & Social Service,0.5314397900265698,0.03868134562229922,0.22724463823777752,0.22089122510267356,0.3181580917768048,2716180.0
Customer Service,0.6968212749564544,0.5605557672478576,0.3451003501670617,0.4613507078054949,0.4821348712871643,3498520.0
Data & Analytics,1.3993754949518693,0.40691168591672333,0.32679752262576556,0.6192712869389985,0.6727860130450961,412120.0
Education & Instruction,1.0240024078333634,0.17830132201694873,0.21015950188271473,0.2413172271317437,0.38190907494922005,9510040.0
Electrical Engineering,0.8398107756262221,0.07240176803540187,0.20131951236076884,0.445928946868375,0.564586204813834,485850.0
Food Preparation & Service,-0.7285329323830664,0.008379334223867479,0.1671838382877861,0.08661489429729725,0.14905691009480834,13857730.0
Hospitality & Tourism,-0.01535719908675257,0.09848578104654827,0.24362904517566045,0.2321304521215047,0.324170464181612,1745840.0
Human Resources,1.3190061600973517,0.2920194756514761,0.19654743924850523,0.4609561324289923,0.5860441312519679,1894160.0
"IT Infrastructure, Operations & Support",0.4922900680576573,0.3883562602222528,0.29873624050151903,0.5835859367017472,0.6471629220985007,1308420.0
IT Systems & Solutions,1.0552634715006286,0.2666984044782374,0.24407686207619447,0.6068423318448033,0.6294703328324065,2004360.0
Industrial Engineering,0.9495444286293658,0.03642531459044768,0.22512363260117935,0.38959225362212774,0.5054380551985871,870400.0
Installation & Maintenance,-1.0188132291158059,0.012910941880693373,0.08821856533234651,0.08027905248333725,0.13946591037772169,12333750.0
Legal,1.2743426828154627,0.17285442286112296,0.15426535905304944,0.45990043245798345,0.5121724229707929,1597960.0
Loading & Stocking,-1.2342383480407921,0.0,0.08398905805429423,0.12318890508221908,0.14304909757992632,8159420.0
Logistic Support,-0.6708476653627987,0.019514145799629644,0.13825907319572456,0.1669431667500597,0.3155585431467056,7105660.0
Management,0.8681130446258725,0.1417636966390415,0.1684922544527648,0.37347241111702995,0.48657698327188714,8229360.0
Marketing,1.3191937829527272,0.5159753376104805,0.2989454173353379,0.4634764194227346,0.496393628832797,1337340.0
Mechanical Engineering,0.871168387891022,0.07105386559006893,0.24470479886204125,0.3738295485185796,0.5121679516067436,364110.0
Media & Communications,0.9258639442185308,0.2969558639631995,0.3206228202919897,0.505973971384669,0.6028043850349587,942380.0
Medical Information,0.6397323727830657,0.6041357098232333,0.24236433310693742,0.4754640507530778,0.6622007049484745,272110.0
Medical Technician,-0.3051159757972322,0.01628258882088529,0.06931281951732027,0.10638743933194565,0.26395167035733397,3890940.0
Nursing,-0.144033785757432,0.038346438846097404,0.07315566340031486,0.14883853372587308,0.29842794646022175,9848600.0
Pharmacy,0.2288162283591136,0.07720462063900967,0.22057096533407167,0.3092229701556144,0.4250496160650554,857890.0
Physicians & Surgeons,0.43124397927964553,0.026179541810065925,0.12116084003206523,0.16587911953801193,0.3455500708221989,2214420.0
Production & Manufacturing,-0.7019087082871674,0.011521676781684418,0.11176089577441908,0.17383405316077624,0.19582880247197376,9803790.0
Project Management,1.06817790004159,0.11860000000000001,0.17278203586024998,0.4273057920225571,0.5228546045621107,1354490.0
Retail,-0.04905262977701165,0.21373097401525712,0.27726529045531395,0.20095857714288173,0.32132042282240475,8725120.0
Sales,1.1215846075321876,0.3424836863364803,0.2956421643088443,0.48006289735028285,0.565441465867214,5009330.0
Scientific Research & Development,0.7257721957000972,0.11396350507949524,0.17150829595942868,0.39534011055448026,0.4774699023404254,1107810.0
Security & Public Safety,-0.41622907014926513,0.02532965979825668,0.1329973482586411,0.1654920861676624,0.258262709956874,4015330.0
Social Science,1.2858966025079897,0.12384157982492706,0.29889322539987956,0.44852028434972907,0.501936585106024,143940.0
Software Development,1.2321544795768065,0.33784559865015845,0.2858623619333916,0.6102506362483525,0.8655002848325886,2192850.0
